"
Código do Município","
Município",Mês/ano,Estoque,Admissões,Desligamentos,Saldos,Variação Relativa (%)
230010,Abaiara,01/2020,149,0,0,0,
230010,Abaiara,02/2020,151,3,1,2,1.34
230010,Abaiara,03/2020,151,1,1,0,0
230010,Abaiara,04/2020,151,0,0,0,0
230010,Abaiara,05/2020,154,4,1,3,1.99
230010,Abaiara,06/2020,154,0,0,0,0
230010,Abaiara,07/2020,153,0,1,-1,-0.65
230010,Abaiara,08/2020,150,0,3,-3,-1.96
230010,Abaiara,09/2020,147,0,3,-3,-2
230010,Abaiara,10/2020,148,1,0,1,0.68
230010,Abaiara,11/2020,144,0,4,-4,-2.7
230010,Abaiara,12/2020,144,1,1,0,0
230010,Abaiara,01/2021,144,0,0,0,0
230010,Abaiara,02/2021,147,5,2,3,2.08
230010,Abaiara,03/2021,147,2,2,0,0
230010,Abaiara,04/2021,149,2,0,2,1.36
230010,Abaiara,05/2021,147,0,2,-2,-1.34
230010,Abaiara,06/2021,150,5,2,3,2.04
230010,Abaiara,07/2021,151,1,0,1,0.67
230010,Abaiara,08/2021,152,2,1,1,0.66
230010,Abaiara,09/2021,155,3,0,3,1.97
230010,Abaiara,10/2021,157,3,1,2,1.29
230010,Abaiara,11/2021,158,1,0,1,0.64
230010,Abaiara,12/2021,159,3,2,1,0.63
230010,Abaiara,01/2022,158,0,1,-1,-0.63
230010,Abaiara,02/2022,162,6,2,4,2.53
230010,Abaiara,03/2022,165,4,1,3,1.85
230010,Abaiara,04/2022,164,3,4,-1,-0.61
230010,Abaiara,05/2022,178,16,2,14,8.54
230010,Abaiara,06/2022,179,6,5,1,0.56
230010,Abaiara,07/2022,187,13,5,8,4.47
230010,Abaiara,08/2022,208,23,2,21,11.23
230010,Abaiara,09/2022,232,28,4,24,11.54
230010,Abaiara,10/2022,274,44,2,42,18.1
230010,Abaiara,11/2022,378,106,2,104,37.96
230010,Abaiara,12/2022,453,80,5,75,19.84
230010,Abaiara,01/2023,502,57,8,49,10.82
230010,Abaiara,02/2023,778,290,14,276,54.98
230010,Abaiara,03/2023,1010,268,36,232,29.82
230010,Abaiara,04/2023,1174,199,35,164,16.24
230010,Abaiara,05/2023,1363,220,31,189,16.1
230010,Abaiara,06/2023,1673,364,54,310,22.74
230010,Abaiara,07/2023,1662,232,243,-11,-0.66
230010,Abaiara,08/2023,1462,158,358,-200,-12.03
230010,Abaiara,09/2023,1391,77,148,-71,-4.86
230010,Abaiara,10/2023,1288,84,187,-103,-7.4
230010,Abaiara,11/2023,1119,64,233,-169,-13.12
230010,Abaiara,12/2023,796,4,327,-323,-28.87
230010,Abaiara,01/2024,499,6,303,-297,-37.31
