Código do Município,Município,Mês/ano,Estoque_mar,Estoque_abri,Estoque_diff,Admissões_mar,Admissões_abri,Admissões_diff,Desligamentos_mar,Desligamentos_abri,Desligamentos_diff,Saldos_mar,Saldos_abri,Saldos_diff
230010,Abaiara,01/2020,133,149,16,0,0,0,0,0,0,0,0,0
230010,Abaiara,01/2021,135,144,9,0,0,0,0,0,0,0,0,0
230010,Abaiara,01/2022,156,158,2,0,0,0,0,1,1,0,-1,-1
230010,Abaiara,01/2023,501,502,1,57,57,0,8,8,0,49,49,0
230010,Abaiara,01/2024,499,499,0,6,6,0,302,303,1,-296,-297,-1
230010,Abaiara,01/2025,109,106,-3,5,5,0,1,1,0,4,4,0
230010,Abaiara,01/2026,128,111,-17,5,5,0,8,16,8,-3,-11,-8
230010,Abaiara,02/2020,135,151,16,3,3,0,1,1,0,2,2,0
230010,Abaiara,02/2021,139,147,8,5,5,0,1,2,1,4,3,-1
230010,Abaiara,02/2022,160,162,2,6,6,0,2,2,0,4,4,0
230010,Abaiara,02/2023,777,778,1,290,290,0,14,14,0,276,276,0
230010,Abaiara,02/2024,380,379,-1,1,1,0,120,121,1,-119,-120,-1
230010,Abaiara,02/2025,125,119,-6,20,21,1,4,8,4,16,13,-3
230010,Abaiara,02/2026,133,116,-17,11,11,0,6,6,0,5,5,0
230010,Abaiara,03/2020,135,151,16,1,1,0,1,1,0,0,0,0
230010,Abaiara,03/2021,139,147,8,2,2,0,2,2,0,0,0,0
230010,Abaiara,03/2022,163,165,2,4,4,0,1,1,0,3,3,0
230010,Abaiara,03/2023,1009,1010,1,268,268,0,36,36,0,232,232,0
230010,Abaiara,03/2024,338,338,0,20,21,1,62,62,0,-42,-41,1
230010,Abaiara,03/2025,128,122,-6,8,8,0,5,5,0,3,3,0
230010,Abaiara,03/2026,133,116,-17,4,4,0,4,4,0,0,0,0
230010,Abaiara,04/2020,135,151,16,0,0,0,0,0,0,0,0,0
230010,Abaiara,04/2021,141,149,8,2,2,0,0,0,0,2,2,0
230010,Abaiara,04/2022,162,164,2,3,3,0,4,4,0,-1,-1,0
230010,Abaiara,04/2023,1173,1174,1,199,199,0,35,35,0,164,164,0
230010,Abaiara,04/2024,304,303,-1,33,33,0,67,68,1,-34,-35,-1
230010,Abaiara,04/2025,132,126,-6,5,5,0,1,1,0,4,4,0
230010,Abaiara,05/2020,139,154,15,4,4,0,0,1,1,4,3,-1
230010,Abaiara,05/2021,141,147,6,0,0,0,0,2,2,0,-2,-2
230010,Abaiara,05/2022,176,178,2,16,16,0,2,2,0,14,14,0
230010,Abaiara,05/2023,1362,1363,1,220,220,0,31,31,0,189,189,0
230010,Abaiara,05/2024,260,258,-2,28,28,0,72,73,1,-44,-45,-1
230010,Abaiara,05/2025,135,128,-7,5,5,0,2,3,1,3,2,-1
